institution,location,size,focus,research,age,QS2023 Academic Reputation,QS2023 Employer Reputation,QS2023 Faculty Student Ratio,QS2023 Citations per Faculty,QS2023 International Faculty Ratio,QS2023 International Student Ratio,QS2023 International Research Network,QS2023 Employment Outcomes,QS2022 Academic Reputation,QS2022 Employer Reputation,QS2022 Faculty Student Ratio,QS2022 Citations per Faculty,QS2022 International Faculty Ratio,QS2022 International Student Ratio,THE2020 Teaching,THE2020 International,THE2020 Research,THE2020 Citations,THE2020 Income,THE2020 Overall Score,Number of Students,Student Staff Ratio,International Student Proportion
Institut Polytechnique de Paris,France,5000-12000 Students,Comprehensive,Very High,1-9 Years,45.3,99.4,98.9,94,97,98.2,94.8,99.8,44.8,98.6,99.6,91.6,94.3,98.1,,,,,,,,,
Technical University of Munich,Germany,>30000 Students,Focused,Very High,100+ Years,84,96.8,96.4,25.8,70.3,95,91.8,37.5,84.5,97.6,94.5,27.2,56.9,91.2,64.6,72.9,70.4,85.5,100,74.1,40472,47.8,0.27
Duke University,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,86.1,79.8,100,41.2,20.2,55.1,95.5,98.6,86.9,81.8,100,45.4,,57.4,82.4,61.5,76.8,97,99.9,84,15309,4.3,0.19
 The University of Queensland,Australia,>30000 Students,Fully Comprehensive,Very High,100+ Years,86.6,75.6,20.2,90.8,100,100,94.6,41.8,88.2,80.2,25.4,89.4,100,100,49.3,92.5,58.7,86.8,80.9,67.4,39144,35.7,0.34
Carnegie Mellon University,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,72.1,69,58.6,100,38.2,97.1,88.7,85.3,72.7,75,55,99.9,34.6,99.1,65.9,80.6,82.7,98.2,50.5,81.3,13430,13.6,0.48
"University of California, San Diego (UCSD)",United States,>30000 Students,Fully Comprehensive,Very High,50-99 Years,90,61.6,55.6,77,54.9,53.7,96.9,21.2,91,61.1,62.6,78.4,39.2,61.8,,,,,,,,,
City University of Hong Kong,Hong Kong SAR,5000-12000 Students,Comprehensive,Very High,25-49 Years,57.3,29.4,88.6,98.1,100,100,55.1,57.2,59.4,33,89.7,96.5,100,99.9,41,99.6,48.9,77.6,62.4,59.3,9587,11,0.45
City University of Hong Kong,Hong Kong SAR,5000-12000 Students,Comprehensive,Very High,25-49 Years,57.3,29.4,88.6,98.1,100,100,55.1,57.2,59.4,33,89.7,96.5,100,99.9,41,99.6,48.9,77.6,62.4,59.3,9587,11,0.45
Tokyo Institute of Technology (Tokyo Tech),Japan,5000-12000 Students,Comprehensive,Very High,50-99 Years,74.1,93.4,81.5,65.9,36.1,37.9,55.8,33.6,74.6,91.1,87.6,71.1,13.7,36.2,,,,,,,,,
The London School of Economics and Political Science (LSE),United Kingdom,12000-30000 Students,Specialist,Very High,100+ Years,69,98.3,37.8,84.6,100,100,67.6,99.9,72.4,99.2,45,87.8,100,100,,,,,,,,,
Monash University,Australia,>30000 Students,Fully Comprehensive,Very High,50-99 Years,87.6,80.8,11.2,79.3,100,100,95.1,56.8,88.9,87.2,13.9,73.9,100,100,47.3,89.9,56.6,83.8,67.2,64.7,52989,33.9,0.39
University of Amsterdam,Netherlands,>30000 Students,Fully Comprehensive,Very High,100+ Years,82.7,42.3,26.7,97.3,92.3,80.7,97.2,51.4,83.1,55.6,33.6,99.5,88.7,72.9,48,82,63.4,91.2,45.3,68.1,26723,13.5,0.18
Ludwig-Maximilians-Universität München,Germany,>30000 Students,Fully Comprehensive,Very High,100+ Years,92.6,75.7,56,45.5,64.2,38.8,94.7,39.3,92.8,77.5,52.7,50,49.1,38,,,,,,,,,
Sorbonne University,France,>30000 Students,Fully Comprehensive,Very High,1-9 Years,90,41.7,40.6,86.3,28.3,54.7,99.6,60.9,90.2,47.4,37.4,75.4,14.5,54.2,62.3,69.2,50.6,79.9,38.4,64,43076,13.5,0.19
Delft University of Technology,Netherlands,12000-30000 Students,Comprehensive,Very High,100+ Years,71.6,80.2,34.5,84.4,100,83.7,95.9,64,71.9,87.9,41.8,87.8,100,85.9,55.3,92.8,72.3,63.2,99.4,66.7,18743,20.2,0.3
  University of Bristol,United Kingdom,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,74.4,84.1,58.3,55.3,90.5,84.9,93.9,59.6,74.7,84.3,67.5,50.7,91.3,83.6,41.8,86.6,48.4,95.5,40.9,63.2,21783,13.6,0.27
Brown University,United States,5000-12000 Students,Fully Comprehensive,Very High,100+ Years,57.6,54.2,80.8,89.9,82.8,49.8,73.6,99.6,58.1,56.3,83.2,94.5,78.2,54,64,61.4,56.1,94.9,36.5,70,9391,10.8,0.2
The University of Warwick,United Kingdom,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,71.8,89.3,43.1,63.1,98.1,99.2,93.6,62,73.1,90.8,52.1,61.4,99,99.4,,,,,,,,,
Ruprecht-Karls-Universität Heidelberg,Germany,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,78.7,40.3,99.8,41.1,51.3,47.2,95.2,22.8,80.1,45.7,99.7,47,36.6,54.7,,,,,,,,,
The Hong Kong Polytechnic University,Hong Kong SAR,12000-30000 Students,Comprehensive,Very High,25-49 Years,66.1,37,78.4,68.9,100,80.7,74.2,49.2,67.1,42.9,79.2,63.8,100,81.3,,,,,,,,,
The Hong Kong Polytechnic University,Hong Kong SAR,12000-30000 Students,Comprehensive,Very High,25-49 Years,66.1,37,78.4,68.9,100,80.7,74.2,49.2,67.1,42.9,79.2,63.8,100,81.3,,,,,,,,,
Universidad de Buenos Aires (UBA),Argentina,>30000 Students,Fully Comprehensive,Very High,100+ Years,92.3,94,76,1.8,63.7,68.9,63,34.3,90.2,93.4,78.2,1.9,52.8,71.1,,,,,,,,,
Osaka University,Japan,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,80.2,85.4,67.4,59.1,25,14.4,75.2,21,80.6,80.6,79.1,43.4,7.7,15.1,51.5,36,49,34.6,63,44.8,22892,7.4,0.11
Université Paris-Saclay,France,12000-30000 Students,Comprehensive,Very High,1-9 Years,57.2,99.2,99.7,49.5,43.7,59.1,97.1,7.8,55.5,98.1,99.2,46.2,24.7,46.5,,,,,,,,,
Universiti Malaya (UM),Malaysia,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,79.6,94.9,67.8,39.4,43.6,53,91.8,41.9,76.9,91.7,76.5,49.6,43.6,42.6,,,,,,,,,
Pohang University of Science And Technology (POSTECH),South Korea,<5000 Students,Focused,Very High,25-49 Years,47.4,69.4,100,98,34.7,2.9,30.9,54.8,44.3,64.1,100,99.7,17.6,3,,,,,,,,,
University of Texas at Austin,United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,93.7,85.2,9.8,90.9,7.6,10.8,90.9,71.1,93.6,86.1,9.5,96.6,2.1,15.4,68.2,39.1,76.2,93.2,46.6,75.4,49165,17.2,0.1
Yonsei University,South Korea,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,75.5,95.5,88.6,28.4,19.4,51.3,63.5,68.8,71.6,92.6,89.6,34.4,7.1,44.1,,,,,,,,,
Korea University,South Korea,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,79.3,93.9,86.1,29.5,14.7,32.9,63.1,71.8,77.6,90.4,89.5,30.6,4.3,34,48.4,52,50.2,64.5,93.9,55.2,22965,16,0.22
Lomonosov Moscow State University,Russia,>30000 Students,Fully Comprehensive,Very High,100+ Years,80.5,77,99.8,5.3,19.2,91.9,87.5,91.2,79.5,76.5,99.8,5.9,7.3,87.8,78.2,66.6,63,15.6,90.7,54.3,29235,7.3,0.29
KU Leuven,Belgium,>30000 Students,Fully Comprehensive,Very High,100+ Years,83.8,53,7.7,92.7,91.9,43.3,99.1,44.8,84.4,56.1,8.1,96.9,90.3,41.4,58.7,71.8,73.9,85.3,99.3,73.2,45049,36.3,0.15
National Taiwan University (NTU),Taiwan,>30000 Students,Fully Comprehensive,Very High,50-99 Years,92.3,92.6,33.4,49.7,19,32.6,75,96.7,92.3,87.4,40.8,58.7,7,39.2,57,41.9,62.7,64,65.4,59.9,27254,11.1,0.11
University of Southampton,United Kingdom,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,50.7,56.6,63.3,82.7,96.1,93.8,96.7,42.8,51.5,60.1,59.8,85.4,97.9,96.9,40.2,94.2,44.3,88,40.1,59.8,23863,13.7,0.34
Tohoku University,Japan,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,71.8,78.1,98.6,34.2,14.1,16.4,66.8,18.7,71.4,73.8,98.4,41.3,3.6,16.5,52.7,38.1,54.4,39.8,86.4,49.1,17735,8.2,0.12
University of Washington,United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,84.8,48.6,10.8,100,32.5,36,97.6,84.1,85.4,53,12.2,100,17,38.8,72.2,60.4,82.2,98.6,47.5,81.6,45692,11.1,0.16
University of Glasgow,United Kingdom,>30000 Students,Fully Comprehensive,Very High,100+ Years,75.1,75.1,50.5,34.7,95.5,98.9,94.7,29.4,74.4,74,59.6,38.7,95.8,97.9,41.1,92.3,47.9,91.8,40,62.2,25357,15.4,0.37
University of Copenhagen,Denmark,>30000 Students,Fully Comprehensive,Very High,100+ Years,72.8,36.6,100,26,91.3,24.5,99.1,58.2,73.5,44.2,100,27.5,91.7,25.9,48.1,85.4,44.1,89.6,48.1,62.1,31219,4.3,0.17
University of Wisconsin-Madison,United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,82.4,48.1,70.6,41.9,37.7,23.8,93.2,84.6,83.4,52.8,69.2,58.4,8.1,27.5,68.8,47.4,70.3,85.3,46.3,72,39154,10,0.13
University of Zurich,Switzerland,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,58,39.2,93.3,49.3,100,55.5,93.5,77.8,59.3,52.8,96.6,53.3,100,57.8,47,92.2,46.7,88.2,53,62.8,22609,12.3,0.21
University of Illinois at Urbana-Champaign,United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,85.6,60.9,9.5,88.7,20.3,46.4,92.2,70,86.4,63.5,9.8,93.8,8,58.1,63.2,54.3,78,84.4,47.9,73,44916,17.9,0.24
University of Leeds,United Kingdom,>30000 Students,Fully Comprehensive,Very High,100+ Years,70.2,78.4,41.6,47.8,86.3,86.5,97.8,42.9,70.6,79.5,44,43.4,83.9,89.4,41.1,87.5,45.9,78,39.9,57.1,30236,14.2,0.29
The University of Auckland,New Zealand,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,81.5,48.3,22.4,54.1,99.9,92.4,87.2,79.2,83.8,57.3,23.7,55.1,99.5,94.3,,,,,,,,,
Georgia Institute of Technology,United States,12000-30000 Students,Comprehensive,Very High,100+ Years,67.7,77,11.1,95.5,62.9,54.8,78.5,63.5,67.8,79.4,6.9,100,71.3,64.1,60.2,77.1,76.4,90.4,61.6,75.4,21372,18.3,0.27
KTH Royal Institute of Technology ,Sweden,12000-30000 Students,Comprehensive,Very High,100+ Years,45.8,58.2,70,76.4,97.1,70.2,89.9,81.4,47.3,64.1,69.8,78.2,97,62.7,,,,,,,,,
The University of Western Australia,Australia,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,55.6,49.9,21.8,98.9,100,99.9,98.2,65,58.5,58.1,20.4,94.9,100,99.9,32.5,94.3,43.9,91,57,58.7,18400,23.2,0.29
University of Birmingham,United Kingdom,>30000 Students,Fully Comprehensive,Very High,100+ Years,66,74.7,44.1,45.9,91,87.4,95.1,37.6,65.5,74.6,51.9,47.4,91.6,90,39.6,89.2,45.6,92.1,39.3,60.9,29542,15.5,0.29
Durham University,United Kingdom,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,57.9,89.2,31,65.7,97.2,87.2,89.1,43.6,58.3,88.6,35.8,80.6,97.8,91.5,45.5,91.7,47.8,75.5,37.9,58.5,16963,14.8,0.3
  Pennsylvania State University,United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,76.7,69.8,32.6,67.7,25.3,31,96.8,44.8,75.9,73.2,32.5,74.4,10,32.6,,,,,,,,,
University of Science and Technology of China,China (Mainland),12000-30000 Students,Comprehensive,Very High,50-99 Years,51.6,12.4,86.6,99.9,18.7,5.7,67,37.6,52.4,14.4,83.6,99.9,8.4,6.4,64.6,31.3,59.5,74.7,79.6,64,16245,7.7,0.04
Lund University,Sweden,>30000 Students,Fully Comprehensive,Very High,100+ Years,68.8,50.9,51.3,41.4,95.8,76.6,97.6,64.9,70.5,57.2,52.6,55.2,92.4,68.3,40.7,77.7,54.3,86.3,81,62.2,27266,12.1,0.19
The University of Sheffield,United Kingdom,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,58.7,53.5,59.4,46.9,85.3,97.8,94.7,33.7,60.4,57.9,66.8,44.5,83.7,98.1,,,,,,,,,
University of St Andrews,United Kingdom,5000-12000 Students,Fully Comprehensive,Very High,100+ Years,46.2,67.6,61.1,58.9,98.8,99.7,83.4,44.1,46.7,64.7,67.6,69.7,99.1,99.7,42.2,96.6,41.8,67.8,37.6,53.7,9213,12.7,0.46
"Trinity College Dublin, The University of Dublin",Ireland,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,67.9,48.2,25.7,60.2,99.8,93.3,87.3,97.9,68.2,48.9,27.7,58.9,99.9,94.2,,,,,,,,,
Sungkyunkwan University(SKKU),South Korea,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,60.2,72.7,83.9,37.8,18.9,38.7,58.8,33.9,61.5,68.8,85.4,46.8,7.2,38.5,,,,,,,,,
Rice University,United States,5000-12000 Students,Fully Comprehensive,Very High,100+ Years,38.8,26.1,69.5,86.7,90,92.6,57.2,70.7,40,29.4,78,93.1,89.1,88.5,49.1,77,39.7,93.7,45.4,61.7,6667,8.9,0.28
University of Oslo,Norway,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,54.9,14.5,83.8,62.7,86.2,27.5,97.9,65.7,55.4,16.3,85.5,61,85,29,39.6,75.5,43.8,90,40.7,58.7,20783,12.6,0.17
"University of North Carolina, Chapel Hill",United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,65.5,44.7,80.4,46.6,27.2,10,90,67.4,66.3,47.2,80.9,53.9,11.8,11.1,,,,,,,,,
Technical University of Denmark,Denmark,>30000 Students,Fully Comprehensive,Very High,100+ Years,30.9,23.4,100,70.8,100,77.2,91.2,68.3,32.1,30,100,75,100,76.6,39.4,92.8,40.2,73.8,71.6,54.8,9265,6.6,0.25
King Abdulaziz University (KAU),Saudi Arabia,5000-12000 Students,Focused,Very High,100+ Years,48.4,70.7,66.3,50.6,99,54.3,93.4,10.5,41.3,65.7,68.9,63.8,99.5,56.3,,,,,,,,,
University of Helsinki,Finland,>30000 Students,Fully Comprehensive,Very High,50-99 Years,65.3,44.6,66.5,49.8,67.9,5.8,95.2,62.5,67.2,45.8,68.5,49.6,56.5,6.2,43.4,55.1,59.3,88.1,38.1,62.3,22072,16.6,0.05
Boston University,United States,12000-30000 Students,Comprehensive,Very High,100+ Years,62.3,57.2,40.4,61.6,33.7,83.3,86.9,80.5,62,58.9,41,63.7,14.4,87.6,57.3,64.4,55.6,95.7,41.4,68.4,25662,11.6,0.27
The University of Adelaide,Australia,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,52.3,35.2,17.2,94.5,99.8,99.8,93.1,40.2,53.3,39.8,21.9,90.1,100,99.7,,,,,,,,,
University of Alberta,Canada,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,55.1,48.9,51.5,53.9,95.3,76.9,96.1,41,53.7,47.4,48.2,52.7,90,81.4,47.9,87.5,48.8,70.3,60.5,58.2,31919,21,0.26
École Normale Supérieure de Lyon,France,>30000 Students,Fully Comprehensive,Very High,100+ Years,31.8,12.6,94.3,96.4,66,17.4,70.1,44.3,32.8,12.4,97.2,85.3,51.8,18.5,45.2,70.7,43.5,63.9,47,52.3,2362,8.9,0.13
